x_m,x_over_L,M_edge,p_wall_Pa,p_wall_over_pinf,Cp,Cf,St,q_wall_W_m2,delta_mm,theta_mm,H_i,N_factor,gamma_intermittency,T_edge_K,Re_x,regime
0.01,0.01,4.0,5474.9,1.0,0.0,0.004928097098091544,0.003067333017622505,117843.14896400394,0.3710916489526765,0.04928097098091543,2.6,0.09734513274336284,0.0,216.65,73093.83156125587,laminar
0.011652754590984976,0.011652754590984976,4.0,5474.9,1.0,0.0,0.00456525410872749,0.0028414932544570796,109166.66398509976,0.40058573625366933,0.053197785774487284,2.6,0.11343389424852632,0.0,216.65,85174.44812981067,laminar
0.01330550918196995,0.01330550918196995,4.0,5474.9,1.0,0.0,0.00427231736751101,0.002659164351328118,102161.81254952803,0.42805239428996555,0.05684535796170742,2.6,0.1295226557536898,0.0,216.65000000000006,97255.06469836543,laminar
0.014958263772954925,0.014958263772954925,4.0,5474.9,1.0,0.0,0.0040293840454377235,0.002507958442628656,96352.66814925047,0.4538598598960366,0.06027258939419367,2.6,0.14561141725885327,0.0,216.65000000000006,109335.68126692023,laminar
0.0166110183639399,0.0166110183639399,4.0,5474.9,1.0,0.0,0.0038236763682046354,0.0023799224202459327,91433.68218596542,0.4782767949548962,0.06351515837001022,2.6,0.16170017876401674,0.0,216.65000000000006,121416.29783547502,laminar
0.018263772954924873,0.018263772954924873,3.9999999999999996,5474.9,1.0,0.0,0.003646565395124102,0.0022696854819917018,87198.515068018,0.5015063436884978,0.0666000424418325,2.6,0.17778894026918018,0.0,216.65000000000006,133496.91440402978,laminar
0.01991652754590985,0.01991652754590985,3.9999999999999996,5474.9,1.0,0.0,0.0034919856109468933,0.002173472346084268,83502.12512864918,0.5237065332104264,0.06954822761034463,2.6,0.19387770177434366,0.0,216.65000000000006,145577.5309725846,laminar
0.021569282136894824,0.021569282136894824,3.9999999999999996,5474.9,1.0,0.0,0.0033555321983711524,0.0020885413779174835,80239.18214990047,0.5450031679676379,0.07237642070610233,2.6,0.20996646327950713,0.0,216.65000000000006,157658.1475411394,laminar
0.0232220367278798,0.0232220367278798,3.9999999999999996,5474.9,1.0,0.0,0.003233918734885115,0.0020128470511797635,77331.09953538308,0.56549834063615,0.07509817963648072,2.6,0.22605522478467063,0.0,216.65000000000006,169738.7641096942,laminar
0.024874791318864775,0.024874791318864775,3.9999999999999996,5474.9,1.0,0.0,0.0031246367266889855,0.0019448280358681754,74717.89291331203,0.5852762539431418,0.07772468652364924,2.6,0.2421439862898341,0.0,216.65000000000006,181819.380678249,laminar
