station,x_m,y_mm,u_over_Ue,T_over_Te,T_K,M_local
upstream_laminar,0.2,0.0,0.0,2.1693976459166535,470.0,0.0
upstream_laminar,0.2,0.035166299574427,0.031774906088256345,2.220477962244492,481.0665505327124,0.12709962435150207
upstream_laminar,0.2,0.070332599148854,0.06352128260435584,2.2657286912839547,490.8701209793656,0.2540851304143781
upstream_laminar,0.2,0.10549889872328098,0.09521059997614166,2.3051325394869826,499.4069646927724,0.3808423999000022
upstream_laminar,0.2,0.140665198297708,0.12681432863145695,2.3386929152744185,506.6778201073085,0.5072573145197482
upstream_laminar,0.2,0.17583149787213498,0.15830393899814488,2.366433812313479,512.6878854509764,0.6332157559849902
upstream_laminar,0.2,0.21099779744656197,0.1896509015040486,2.3883996461062282,517.4467833422985,0.7586036060071023
upstream_laminar,0.2,0.24616409702098896,0.22082668657701127,2.404655043889033,520.9685152720343,0.8833067462974584
upstream_laminar,0.2,0.281330396595416,0.25180276464487605,2.4152845878430136,523.2714059697238,1.0072110585674325
upstream_laminar,0.2,0.31649669616984294,0.2825506061354861,2.4203925116154856,524.3780376550585,1.1302024245283988
upstream_laminar,0.2,0.35166299574426996,0.31304168147668454,2.420102350152389,524.3151741740769,1.2521667258917306
upstream_laminar,0.2,0.386829295318697,0.3432474610963146,2.414556542841712,523.1136750201878,1.372989844368803
upstream_laminar,0.2,0.42199559489312394,0.3731394154222194,2.403915989967906,520.808399240018,1.492557661670989
upstream_laminar,0.2,0.45716189446755096,0.4026890148822421,2.388359562477287,517.4380992240882,1.6107560595096633
upstream_laminar,0.2,0.4923281940419779,0.43186772990422584,2.3680835650544307,513.0453043823128,1.7274709195961993
upstream_laminar,0.2,0.5274944936164049,0.4606470309160138,2.3433011525095613,507.676194704328,1.8425881236419714
upstream_laminar,0.2,0.562660793190832,0.4889983883454491,2.3142416994769253,501.3804642046445,1.9559935533583535
upstream_laminar,0.2,0.5978270927652589,0.516893272620375,2.2811501234241587,494.21117425262725,2.0675730904567198
