x_m,y_m,p_Pa,T_K,Mach,u_ms,v_ms
0.4020100502512563,0.0,5474.9000000034075,470.0,3.9999999999998233,0.0,0.0
0.40703517587939697,0.0,5474.900000009308,470.0,3.999999999999517,0.0,0.0
0.4120603015075377,0.0,5474.900000025434,470.0,3.99999999999868,0.0,0.0
0.4170854271356784,0.0,5474.900000069486,470.0,3.999999999996394,0.0,0.0
0.4221105527638191,0.0,5474.90000018983,470.0,3.9999999999901488,0.0,0.0
0.4271356783919598,0.0,5474.900000518615,470.0,3.999999999973086,0.0,0.0
0.4321608040201005,0.0,5474.900001416843,470.0,3.9999999999264713,0.0,0.0
0.4371859296482412,0.0,5474.90000387078,470.0,3.9999999997991216,0.0,0.0
0.44221105527638194,0.0,5474.9000105748755,470.0,3.9999999994512048,0.0,0.0
0.4472361809045226,0.0,5474.900028890305,470.0,3.9999999985007038,0.0,0.0
0.45226130653266333,0.0,5474.90007892762,470.0,3.99999999590396,0.0,0.0
0.457286432160804,0.0,5474.900215628353,470.0,3.9999999888097166,0.0,0.0
0.4623115577889447,0.0,5474.900589091456,470.0,3.9999999694284165,0.0,0.0
0.46733668341708545,0.0,5474.9016093836,470.0,3.9999999164791737,0.0,0.0
0.4723618090452261,0.0,5474.904396796726,470.0,3.9999997718231404,0.0,0.0
0.47738693467336685,0.0,5474.912011939004,470.0,3.9999993766265103,0.0,0.0
0.4824120603015075,0.0,5474.932816300023,470.0,3.999998296960095,0.0,0.0
0.48743718592964824,0.0,5474.989653132102,470.0,3.9999953473468532,0.0,0.0
0.49246231155778897,0.0,5475.144928636428,470.0,3.999987289144681,0.0,0.0
0.49748743718592964,0.0,5475.569127483891,470.0,3.9999652748540893,0.0,0.0
0.5025125628140703,0.0,5476.727953211329,470.0,3.9999051362505504,0.0,0.0
0.507537688442211,0.0,5479.893275230475,470.0,3.999740868197577,0.0,0.0
0.5125628140703518,0.0,5488.5366667041035,470.0,3.9992923093843284,0.0,0.0
0.5175879396984925,0.0,5512.118961356266,470.0,3.998068478885023,0.0,0.0
0.5226130653266332,0.0,5576.312959755949,470.0,3.994737056974108,0.0,0.0
0.5276381909547738,0.0,5749.9744946756855,470.0,3.9857246904454993,0.0,0.0
0.5326633165829145,0.0,6211.982245135266,470.0,3.9617482630338454,0.0,0.0
0.5376884422110553,0.0,7388.3224201642515,470.0,3.900700726948274,0.0,0.0
0.542713567839196,0.0,10076.36637585153,470.0,3.76120157196925,0.0,0.0
0.5477386934673367,0.0,14947.218248054289,470.0,3.508423071542328,0.0,0.0
0.5527638190954774,0.0,20939.010513070432,470.0,3.1974720709044333,0.0,0.0
0.5577889447236181,0.0,25598.373522127047,470.0,2.95566903002457,0.0,0.0
0.5628140703517588,0.0,28092.84072434136,470.0,2.8262157649112707,0.0,0.0
0.5678391959798995,0.0,29167.862735679162,470.0,2.770426252299997,0.0,0.0
0.5728643216080402,0.0,29587.359819158974,470.0,2.748655965196698,0.0,0.0
0.577889447236181,0.0,29744.648687364454,470.0,2.7404932771737407,0.0,0.0
0.5829145728643216,0.0,29802.736241201128,470.0,2.7374787562772838,0.0,0.0
0.5879396984924623,0.0,29824.06792155187,470.0,2.7363717240143197,0.0,0.0
0.592964824120603,0.0,29831.885428098045,470.0,2.735966025456107,0.0,0.0
0.5979899497487438,0.0,29834.748167658778,470.0,2.735817460270332,0.0,0.0
