x_m,delta_star_mm,theta_mm,H_i,Re_theta
0.01,0.12813052455038001,0.0492809709809154,2.6,360.2134992054168
0.0116527545909849,0.13831424301366674,0.0531977857744872,2.6,388.84299928321406
0.0133055091819699,0.14779793070043926,0.0568453579617074,2.6,415.5045019892333
0.0149582637729549,0.15670873242490335,0.0602725893941936,2.6,440.5554496939921
0.0166110183639399,0.16513941176202657,0.0635151583700102,2.6,464.2566287484014
0.0182637729549248,0.1731601103487645,0.0666000424418325,2.6,486.80522842157933
0.0199165275459098,0.18082539178689597,0.0695482276103446,2.6,508.3546434334409
0.0215692821368948,0.18817869383586597,0.0723764207061023,2.6,529.0269904098429
0.0232220367278798,0.19525526705484983,0.0750981796364807,2.6,548.9213692905852
0.0248747913188647,0.20208418496148792,0.0777246865236492,2.6,568.1195144911024
0.0265275459098497,0.20868976091422656,0.0802652926593179,2.6,586.6897781855087
0.0281803005008347,0.21509257265030135,0.0827279125578082,2.6,604.6900105914733
0.0298330550918197,0.22131021961991124,0.0851193152384274,2.6,622.1696890647048
0.0314858096828046,0.22735789365469908,0.0874453437133458,2.6,639.1715224199418
0.0331385642737896,0.23324881630136868,0.0897110831928341,2.6,655.7326804074822
0.0347913188647746,0.23899457902822346,0.0919209919339321,2.6,671.8857501362387
0.0364440734557596,0.2446054114359817,0.0940790043984545,2.6,687.6594900951278
0.0380968280467445,0.250090395262701,0.0961886135625773,2.6,703.0794317853752
0.0397495826377295,0.25545763699984037,0.0982529373076309,2.6,718.1683649962599
0.0414023372287145,0.2607144085017748,0.1002747725006826,2.6,732.9467331008138
0.0430550918196995,0.26586726255655935,0.1022566394448305,2.6,747.4329579600507
0.0447078464106844,0.27092212866099863,0.1042008187157687,2.6,761.6437091755342
0.0463606010016694,0.27588439299296147,0.1061093819203698,2.6,775.5941289156466
0.0480133555926544,0.2807589656555655,0.1079842175598329,2.6,789.2980209592415
0.0496661101836394,0.2855503375849363,0.1098270529172832,2.6,802.7680106805013
0.0513188647746243,0.29026262899959987,0.1116394726921538,2.6,816.0156812547692
0.0529716193656093,0.29489963087913046,0.1134229349535117,2.6,829.0516902675242
0.0546243739565943,0.2994648406600274,0.1151787848692413,2.6,841.8858700662423
0.0562771285475793,0.30396149310467563,0.1169082665787214,2.6,854.5273145423434
0.0579298831385642,0.3083925871179655,0.1186125335069098,2.6,866.9844545207851
0.0595826377295492,0.3127609091433905,0.1202926573628425,2.6,879.2651235335438
0.0612353923205342,0.317069053657225,0.1219496360220096,2.6,891.3766154349191
0.0628881469115192,0.32131944118894573,0.12358440045728682,2.6,903.325735062367
0.0645409015025041,0.32551433422334036,0.1251978208551309,2.6,915.1188429421169
0.0661936560934891,0.32965585128092706,0.1267907120311258,2.6,926.7618948734744
0.0678464106844741,0.33374597942543205,0.1283638382405508,2.6,938.2604770911049
0.0694991652754591,0.33778658540790074,0.1299179174645772,2.6,949.6198375944874
0.071151919866444,0.3417794256247985,0.1314536252403071,2.6,960.8449141431377
0.072804674457429,0.3457261550408146,0.132971598092621,2.6,971.940359341295
0.074457429048414,0.3496283352049623,0.1344724366172932,2.6,982.9105631735977
0.0761101836393989,0.3534874414701061,0.1359567082577331,2.6,993.7596733013427
0.0777629382303839,0.3573048695105762,0.1374249498117601,2.6,1004.4916133854697
0.0794156928213689,0.3610819412195216,0.138877669699816,2.6,1015.1100996657924
