z_m,interaction_strength,separation_length_m,peak_heat_flux_kW_m2,peak_pressure_ratio
0.0,0.3500000731478553,0.0897500062175677,864.500034379492,3.71429923690062
0.0050847457627118,0.3500003983765096,0.0897500338620033,848.8522014405085,3.714300105196841
0.0101694915254237,0.3500021696260216,0.0897501844182118,807.5443210899755,3.7143048340829257
0.0152542372881355,0.3500118160080433,0.0897510043606836,754.238283967302,3.714330588016181
0.0203389830508474,0.3500643469578972,0.0897554694914212,703.409193730171,3.714470835268814
0.0254237288135593,0.3503502912173974,0.0897797747534787,664.3418306908613,3.7152342499207966
0.0305084745762711,0.3519031903474179,0.0899117711795305,639.7935291710885,3.7193801836457134
0.035593220338983,0.3602319227161438,0.0906197134308722,629.8394170553081,3.741616252779741
0.0406779661016949,0.402079904268827,0.0941767918628503,642.9712569350352,3.853342091686404
0.0457627118644067,0.559134435140812,0.107526426986969,714.1241391105399,4.272646645089405
0.0508474576271186,0.8186140650855334,0.1295821955322703,835.1383803982092,4.965405967262868
0.0559322033898305,0.9568688727672912,0.1413338541852197,899.8286724134471,5.334518975776257
0.0610169491525423,0.9916269021079808,0.1442882866791783,916.0873254084828,5.427316043705139
0.0661016949152542,0.998446235355476,0.1448679300052154,919.2742376138128,5.445522315539334
0.071186440677966,0.9997141479945278,0.1449757025795348,919.866436533729,5.448907391664931
0.0762711864406779,0.9999474944936294,0.1449955370319585,919.9754431637544,5.449530380693332
0.0813559322033898,0.9999903585767188,0.1449991804790211,919.9954848121135,5.4496448193224944
0.0864406779661016,0.9999982296706614,0.1449998495220062,919.9991698741968,5.44966583358749
0.0915254237288135,0.9999996749406294,0.1449999723699535,919.9998474229278,5.449669692172626
0.0966101694915254,0.999999940314268,0.1449999949267127,919.9999719660796,5.449670400667786
0.1016949152542372,0.999999989040816,0.1449999990684694,919.9999948506608,5.449670530758039
0.1067796610169491,0.9999999979877316,0.1449999998289572,919.9999990543382,5.449670554644535
0.111864406779661,0.9999999996305178,0.144999999968594,919.9999998263498,5.449670559030449
0.1169491525423728,0.9999999999321576,0.1449999999942334,919.9999999681144,5.449670559835767
0.1220338983050847,0.9999999999875432,0.1449999999989411,919.9999999941452,5.449670559983636
0.1271186440677966,0.9999999999977128,0.1449999999998056,919.999999998925,5.449670560010787
0.1322033898305084,0.99999999999958,0.1449999999999643,919.9999999998026,5.449670560015772
0.1372881355932203,0.999999999999923,0.1449999999999934,919.9999999999638,5.449670560016688
0.1423728813559321,0.9999999999999858,0.1449999999999988,919.9999999999932,5.449670560016855
0.147457627118644,0.999999999999997,0.1449999999999997,919.9999999999986,5.4496705600168855
0.1525423728813559,0.999999999999997,0.1449999999999997,919.9999999999986,5.4496705600168855
0.1576271186440677,0.9999999999999858,0.1449999999999988,919.9999999999932,5.449670560016855
0.1627118644067796,0.999999999999923,0.1449999999999934,919.9999999999638,5.449670560016688
0.1677966101694915,0.99999999999958,0.1449999999999643,919.9999999998026,5.449670560015772
0.1728813559322033,0.9999999999977128,0.1449999999998056,919.999999998925,5.449670560010787
0.1779661016949152,0.9999999999875432,0.1449999999989411,919.9999999941452,5.449670559983636
0.1830508474576271,0.9999999999321576,0.1449999999942334,919.9999999681144,5.449670559835767
0.1881355932203389,0.9999999996305178,0.144999999968594,919.9999998263498,5.449670559030449
0.1932203389830508,0.9999999979877316,0.1449999998289572,919.9999990543382,5.449670554644535
0.1983050847457627,0.999999989040816,0.1449999990684694,919.9999948506608,5.449670530758039
0.2033898305084745,0.999999940314268,0.1449999949267127,919.9999719660796,5.449670400667786
0.2084745762711864,0.9999996749406294,0.1449999723699535,919.9998474229278,5.449669692172626
0.2135593220338983,0.9999982296706614,0.1449998495220062,919.9991698741968,5.44966583358749
0.2186440677966101,0.9999903585767188,0.1449991804790211,919.9954848121135,5.4496448193224944
0.223728813559322,0.9999474944936294,0.1449955370319585,919.9754431637544,5.449530380693332
0.2288135593220338,0.9997141479945278,0.1449757025795348,919.866436533729,5.448907391664931
0.2338983050847457,0.998446235355476,0.1448679300052154,919.2742376138128,5.445522315539334
0.2389830508474576,0.9916269021079808,0.1442882866791783,916.0873254084828,5.427316043705139
0.2440677966101694,0.9568688727672916,0.1413338541852197,899.8286724134473,5.334518975776258
0.2491525423728813,0.8186140650855336,0.1295821955322703,835.1383803982093,4.9654059672628685
0.2542372881355932,0.559134435140812,0.107526426986969,714.1241391105399,4.272646645089405
0.259322033898305,0.4020799042688274,0.0941767918628503,642.9712569350354,3.8533420916864047
0.2644067796610169,0.3602319227161437,0.0906197134308722,629.839417055308,3.741616252779741
0.2694915254237288,0.3519031903474179,0.0899117711795305,639.7935291710885,3.7193801836457134
0.2745762711864407,0.3503502912173974,0.0897797747534787,664.3418306908613,3.7152342499207966
0.2796610169491525,0.3500643469578972,0.0897554694914212,703.4091937301708,3.714470835268814
0.2847457627118643,0.3500118160080433,0.0897510043606836,754.2382839673015,3.714330588016181
0.2898305084745762,0.3500021696260216,0.0897501844182118,807.5443210899754,3.7143048340829257
0.2949152542372881,0.3500003983765096,0.0897500338620033,848.8522014405082,3.714300105196841
0.3,0.3500000731478553,0.0897500062175677,864.500034379492,3.71429923690062
