x_m,y_m,z_m,p_Pa,T_K,Mach,u_ms,v_ms,w_ms
0.0,0.0,0.0,5474.9,838.0236565386301,4.0,0.0,-0.0,0.0
0.0,0.0,0.020338983050847456,5474.9,838.0236565386301,4.0,0.0,-0.0,0.0
0.0,0.0,0.04067796610169491,5474.9,838.0236565386301,4.0,0.0,-0.0,0.0
0.0,0.0,0.06101694915254237,5474.9,838.0236565386301,4.0,0.0,-0.0,0.0
0.0,0.0,0.08135593220338982,5474.9,838.0236565386301,4.0,0.0,-0.0,0.0
0.0,0.0,0.10169491525423728,5474.9,838.0236565386301,4.0,0.0,-0.0,0.0
0.0,0.0,0.12203389830508474,5474.9,838.0236565386301,4.0,0.0,-0.0,0.0
0.0,0.0,0.14237288135593218,5474.9,838.0236565386301,4.0,0.0,-0.0,0.0
0.0,0.0,0.16271186440677965,5474.9,838.0236565386301,4.0,0.0,-0.0,-0.0
0.0,0.0,0.18305084745762712,5474.9,838.0236565386301,4.0,0.0,-0.0,-0.0
0.0,0.0,0.20338983050847456,5474.9,838.0236565386301,4.0,0.0,-0.0,-0.0
0.0,0.0,0.223728813559322,5474.9,838.0236565386301,4.0,0.0,-0.0,-0.0
0.0,0.0,0.24406779661016947,5474.9,838.0236565386301,4.0,0.0,-0.0,-0.0
0.0,0.0,0.26440677966101694,5474.9,838.0236565386301,4.0,0.0,-0.0,-0.0
0.0,0.0,0.28474576271186436,5474.9,838.0236565386301,4.0,0.0,-0.0,-0.0
0.0,0.006521739130434783,0.0,5474.9,838.0236565386301,4.0,0.0,-0.0,0.0
0.0,0.006521739130434783,0.020338983050847456,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.006521739130434783,0.04067796610169491,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.006521739130434783,0.06101694915254237,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.006521739130434783,0.08135593220338982,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.006521739130434783,0.10169491525423728,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.006521739130434783,0.12203389830508474,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.006521739130434783,0.14237288135593218,5474.9,470.0,4.0,1738.408007344651,-0.0,0.0
0.0,0.006521739130434783,0.16271186440677965,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.006521739130434783,0.18305084745762712,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.006521739130434783,0.20338983050847456,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.006521739130434783,0.223728813559322,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.006521739130434783,0.24406779661016947,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
0.0,0.006521739130434783,0.26440677966101694,5474.9,470.0,4.0,1738.408007344651,-0.0,-0.0
