z_m,interaction_strength,separation_length_m,peak_heat_flux_kW_m2,peak_pressure_ratio
0.0,0.3500000731478553,0.08975000621756771,864.500034379492,3.71429923690062
0.005084745762711864,0.3500003983765096,0.08975003386200331,848.8522014405085,3.714300105196841
0.010169491525423728,0.35000216962602165,0.08975018441821184,807.5443210899755,3.7143048340829257
0.015254237288135592,0.3500118160080433,0.08975100436068369,754.238283967302,3.7143305880161814
0.020338983050847456,0.35006434695789723,0.08975546949142127,703.409193730171,3.714470835268814
0.02542372881355932,0.35035029121739747,0.08977977475347879,664.3418306908613,3.7152342499207966
0.030508474576271184,0.3519031903474179,0.08991177117953052,639.7935291710885,3.7193801836457134
0.035593220338983045,0.3602319227161438,0.09061971343087222,629.8394170553081,3.741616252779741
0.04067796610169491,0.402079904268827,0.0941767918628503,642.9712569350352,3.853342091686404
0.04576271186440678,0.559134435140812,0.10752642698696901,714.1241391105399,4.272646645089405
0.05084745762711864,0.8186140650855334,0.12958219553227035,835.1383803982092,4.965405967262868
0.0559322033898305,0.9568688727672913,0.14133385418521976,899.8286724134471,5.334518975776257
0.06101694915254237,0.9916269021079808,0.14428828667917837,916.0873254084829,5.427316043705139
0.06610169491525424,0.998446235355476,0.14486793000521547,919.2742376138127,5.445522315539334
0.07118644067796609,0.9997141479945278,0.14497570257953488,919.866436533729,5.448907391664931
0.07627118644067796,0.9999474944936294,0.1449955370319585,919.9754431637544,5.449530380693332
0.08135593220338982,0.9999903585767187,0.1449991804790211,919.9954848121137,5.4496448193224944
0.08644067796610169,0.9999982296706614,0.14499984952200623,919.9991698741969,5.44966583358749
0.09152542372881356,0.9999996749406294,0.1449999723699535,919.9998474229278,5.449669692172626
0.09661016949152541,0.9999999403142679,0.14499999492671278,919.9999719660796,5.449670400667786
0.10169491525423728,0.9999999890408161,0.1449999990684694,919.9999948506608,5.449670530758039
0.10677966101694915,0.9999999979877316,0.1449999998289572,919.9999990543382,5.449670554644535
0.111864406779661,0.9999999996305178,0.14499999996859403,919.9999998263498,5.449670559030449
0.11694915254237287,0.9999999999321576,0.1449999999942334,919.9999999681144,5.449670559835767
0.12203389830508474,0.9999999999875431,0.14499999999894117,919.9999999941452,5.449670559983636
0.1271186440677966,0.9999999999977127,0.1449999999998056,919.999999998925,5.449670560010787
0.13220338983050847,0.99999999999958,0.14499999999996432,919.9999999998026,5.449670560015772
0.13728813559322034,0.999999999999923,0.14499999999999347,919.9999999999638,5.449670560016688
0.14237288135593218,0.9999999999999858,0.1449999999999988,919.9999999999933,5.449670560016855
0.14745762711864405,0.999999999999997,0.14499999999999974,919.9999999999986,5.4496705600168855
0.15254237288135591,0.999999999999997,0.14499999999999974,919.9999999999986,5.4496705600168855
0.15762711864406778,0.9999999999999858,0.1449999999999988,919.9999999999933,5.449670560016855
0.16271186440677965,0.999999999999923,0.14499999999999347,919.9999999999638,5.449670560016688
0.16779661016949152,0.99999999999958,0.14499999999996432,919.9999999998026,5.449670560015772
0.17288135593220338,0.9999999999977127,0.1449999999998056,919.999999998925,5.449670560010787
0.17796610169491525,0.9999999999875431,0.14499999999894117,919.9999999941452,5.449670559983636
0.18305084745762712,0.9999999999321576,0.1449999999942334,919.9999999681144,5.449670559835767
0.18813559322033896,0.9999999996305178,0.14499999996859403,919.9999998263498,5.449670559030449
0.19322033898305083,0.9999999979877316,0.1449999998289572,919.9999990543382,5.449670554644535
0.1983050847457627,0.9999999890408161,0.1449999990684694,919.9999948506608,5.449670530758039
0.20338983050847456,0.9999999403142679,0.14499999492671278,919.9999719660796,5.449670400667786
0.20847457627118643,0.9999996749406294,0.1449999723699535,919.9998474229278,5.449669692172626
0.2135593220338983,0.9999982296706614,0.14499984952200623,919.9991698741969,5.44966583358749
0.21864406779661016,0.9999903585767187,0.1449991804790211,919.9954848121137,5.4496448193224944
0.223728813559322,0.9999474944936294,0.1449955370319585,919.9754431637544,5.449530380693332
0.22881355932203387,0.9997141479945278,0.14497570257953488,919.866436533729,5.448907391664931
0.23389830508474574,0.998446235355476,0.14486793000521547,919.2742376138127,5.445522315539334
0.2389830508474576,0.9916269021079808,0.14428828667917837,916.0873254084829,5.427316043705139
0.24406779661016947,0.9568688727672915,0.14133385418521976,899.8286724134473,5.334518975776258
0.24915254237288134,0.8186140650855336,0.12958219553227035,835.1383803982093,4.9654059672628685
0.2542372881355932,0.559134435140812,0.10752642698696901,714.1241391105399,4.272646645089405
0.25932203389830505,0.40207990426882745,0.09417679186285033,642.9712569350354,3.8533420916864047
0.26440677966101694,0.36023192271614374,0.09061971343087222,629.839417055308,3.741616252779741
0.2694915254237288,0.3519031903474179,0.08991177117953052,639.7935291710885,3.7193801836457134
0.2745762711864407,0.3503502912173974,0.08977977475347879,664.3418306908613,3.7152342499207966
0.2796610169491525,0.35006434695789723,0.08975546949142127,703.4091937301708,3.714470835268814
0.28474576271186436,0.3500118160080433,0.08975100436068369,754.2382839673015,3.7143305880161814
0.28983050847457625,0.35000216962602165,0.08975018441821184,807.5443210899754,3.7143048340829257
0.2949152542372881,0.3500003983765096,0.08975003386200331,848.8522014405082,3.714300105196841
0.3,0.3500000731478553,0.08975000621756771,864.500034379492,3.71429923690062
